Arquivo,Tamanho (KB),Data Modificação
TG132_300276_68278_01188_132_20251225000047_91.13.BIN,29.78,24/12/2025 23:59
TG012_12001_67461_01051_012_20251225114630_91.13.BIN,13.22,25/12/2025 19:52
TG012_12001_67461_01052_012_20251225195028_91.13.BIN,15.89,25/12/2025 19:52
TG012_12003_67797_00735_012_20251225122230_91.13.BIN,15.53,25/12/2025 12:22
TG012_12084_66232_00877_012_20251225121735_91.13.BIN,12.92,25/12/2025 20:36
TG012_12084_66232_00878_012_20251225203447_91.13.BIN,16.47,25/12/2025 20:36
TG012_12086_66729_01138_012_20251225130816_91.13.BIN,15.11,25/12/2025 13:32
TG012_12086_66729_01139_012_20251225133159_91.13.BIN,3.00,25/12/2025 13:32
TG012_12088_66176_01048_012_20251225003744_91.13.BIN,21.83,25/12/2025 13:41
TG012_12092_66669_01003_012_20251225114731_91.13.BIN,26.22,25/12/2025 19:21
TG012_12092_66669_01004_012_20251225191933_91.13.BIN,8.58,25/12/2025 19:21
TG024_24011_66289_01357_024_20251225122401_91.13.BIN,12.84,25/12/2025 21:00
TG024_24011_66289_01358_024_20251225205914_91.13.BIN,11.88,25/12/2025 21:00
TG132_300201_67121_01051_132_20251225153736_91.13.BIN,5.19,25/12/2025 22:47
TG132_300201_67121_01052_132_20251225224523_91.13.BIN,18.14,25/12/2025 22:47
TG132_300204_67414_00940_132_20251225124016_91.13.BIN,18.24,25/12/2025 19:00
TG132_300204_67414_00941_132_20251225185926_91.13.BIN,14.42,25/12/2025 19:00
TG132_300205_66339_01161_132_20251225132815_91.13.BIN,18.05,25/12/2025 19:11
TG132_300205_66339_01162_132_20251225150644_91.13.BIN,5.36,25/12/2025 19:11
TG132_300205_66339_01163_132_20251225150736_91.13.BIN,1.10,25/12/2025 19:11
TG132_300205_66339_01164_132_20251225191024_91.13.BIN,6.28,25/12/2025 19:11
TG132_300207_66887_01127_132_20251225071235_91.13.BIN,6.10,25/12/2025 07:12
TG132_300208_66684_01059_132_20251225055917_91.13.BIN,5.33,25/12/2025 05:59
TG132_300208_66684_01060_132_20251225132032_91.13.BIN,19.03,25/12/2025 20:56
TG132_300208_66684_01061_132_20251225205418_91.13.BIN,23.60,25/12/2025 20:56
TG132_300214_66137_01161_132_20251225124716_91.13.BIN,20.78,25/12/2025 20:39
TG132_300214_66137_01162_132_20251225203756_91.13.BIN,18.39,25/12/2025 20:39
TG132_300216_66773_00893_132_20251225133841_91.13.BIN,12.71,25/12/2025 20:00
TG132_300216_66773_00894_132_20251225195859_91.13.BIN,12.05,25/12/2025 20:00
TG132_300226_66171_01153_132_20251225132117_91.13.BIN,11.73,25/12/2025 23:38
TG132_300226_66171_01154_132_20251225233655_91.13.BIN,8.17,25/12/2025 23:38
TG132_300231_67039_01162_132_20251225121025_91.13.BIN,17.17,25/12/2025 20:02
TG132_300231_67039_01163_132_20251225200059_91.13.BIN,24.20,25/12/2025 20:02
TG132_300233_67656_00897_132_20251225160122_91.13.BIN,26.83,25/12/2025 16:32
TG132_300237_66649_00997_132_20251225124200_91.13.BIN,10.32,25/12/2025 21:14
TG132_300237_66649_00998_132_20251225211246_91.13.BIN,10.76,25/12/2025 21:14
TG132_300238_66257_00966_132_20251225143121_91.13.BIN,20.88,25/12/2025 21:05
TG132_300238_66257_00967_132_20251225210355_91.13.BIN,13.46,25/12/2025 21:05
TG132_300244_67476_00793_132_20251225131752_91.13.BIN,16.33,25/12/2025 20:16
TG132_300244_67476_00794_132_20251225201528_91.13.BIN,24.58,25/12/2025 20:17
TG132_300245_66353_00080_132_20251225135010_91.13.BIN,12.95,25/12/2025 22:02
TG132_300245_66353_00081_132_20251225220125_91.13.BIN,6.59,25/12/2025 22:02
TG132_300248_66699_00161_132_20251225121517_91.13.BIN,12.98,25/12/2025 12:15
TG132_300251_66901_01044_132_20251225144436_91.13.BIN,16.21,25/12/2025 17:42
TG132_300251_66901_01045_132_20251225173451_91.13.BIN,11.83,25/12/2025 17:42
TG132_300252_67140_00831_132_20251225111003_91.13.BIN,7.38,25/12/2025 11:10
TG132_300255_66283_01004_132_20251225142056_91.13.BIN,8.59,25/12/2025 20:16
TG132_300255_66283_01005_132_20251225201518_91.13.BIN,6.74,25/12/2025 20:16
TG132_300256_66138_01190_132_20251225140608_91.13.BIN,15.90,25/12/2025 21:11
TG132_300256_66138_01191_132_20251225205542_91.13.BIN,11.78,25/12/2025 21:11
TG132_300261_66270_00263_132_20251225141906_91.13.BIN,15.86,25/12/2025 23:35
TG132_300261_66270_00264_132_20251225233406_91.13.BIN,14.09,25/12/2025 23:35
TG132_300262_67782_01299_132_20251225144707_91.13.BIN,14.09,25/12/2025 14:47
TG132_300264_67036_01266_132_20251225122326_91.13.BIN,19.12,25/12/2025 12:23
TG132_300264_67036_01267_132_20251225205130_91.13.BIN,22.39,25/12/2025 20:53
TG132_300267_66165_01197_132_20251225140225_91.13.BIN,17.31,25/12/2025 14:02
TG132_300270_66299_01156_132_20251225135053_91.13.BIN,28.98,25/12/2025 21:30
TG132_300270_66299_01157_132_20251225212850_91.13.BIN,15.08,25/12/2025 21:30
TG132_300271_66647_01282_132_20251225111114_91.13.BIN,11.16,25/12/2025 11:11
TG132_300271_66647_01283_132_20251225135259_91.13.BIN,6.25,25/12/2025 21:30
TG132_300271_66647_01284_132_20251225211818_91.13.BIN,6.63,25/12/2025 21:30
TG132_300272_66978_01292_132_20251225124754_91.13.BIN,5.84,25/12/2025 12:49
TG132_300274_66201_00924_132_20251225123304_91.13.BIN,17.99,25/12/2025 22:19
TG132_300274_66201_00925_132_20251225221757_91.13.BIN,23.18,25/12/2025 22:19
TG132_300275_67580_01322_132_20251225131957_91.13.BIN,11.53,25/12/2025 19:08
TG132_300275_67580_01323_132_20251225190721_91.13.BIN,13.03,25/12/2025 19:08
TG132_300277_67060_01285_132_20251225165246_91.13.BIN,15.39,26/12/2025 00:04
TG132_300278_68303_01058_132_20251225124557_91.13.BIN,9.71,25/12/2025 21:12
TG132_300278_68303_01059_132_20251225205914_91.13.BIN,7.80,25/12/2025 21:12
TG132_300280_67384_00755_132_20251225150229_91.13.BIN,43.72,25/12/2025 21:39
TG132_300280_67384_00756_132_20251225212652_91.13.BIN,9.85,25/12/2025 21:39
TG132_300282_66268_00633_132_20251225120804_91.13.BIN,19.96,25/12/2025 20:08
TG132_300282_66268_00634_132_20251225200712_91.13.BIN,23.36,25/12/2025 20:08
TG132_300283_66107_00901_132_20251225144126_91.13.BIN,17.57,25/12/2025 22:23
TG132_300283_66107_00902_132_20251225222202_91.13.BIN,14.98,25/12/2025 22:23
TG132_300285_66584_01367_132_20251225122023_91.13.BIN,20.71,25/12/2025 12:20
TG132_300285_66584_01368_132_20251225174000_91.13.BIN,8.97,25/12/2025 17:41
TG132_300286_66209_00978_132_20251225125318_91.13.BIN,20.88,25/12/2025 20:40
TG132_300286_66209_00979_132_20251225203854_91.13.BIN,16.18,25/12/2025 20:40
TG132_300290_66629_00499_132_20251225123042_91.13.BIN,15.02,25/12/2025 20:44
TG132_300290_66629_00500_132_20251225204232_91.13.BIN,24.03,25/12/2025 20:44
TG132_300292_66958_00966_132_20251225143156_91.13.BIN,17.88,25/12/2025 14:32
TG132_300292_66958_00967_132_20251225231745_91.13.BIN,18.43,25/12/2025 23:19
TG132_300295_66638_01219_132_20251225153619_91.13.BIN,21.33,25/12/2025 23:22
TG132_300295_66638_01220_132_20251225232104_91.13.BIN,11.68,25/12/2025 23:22
TG132_300296_66278_00930_132_20251225050639_91.13.BIN,3.34,25/12/2025 05:07
TG132_300299_66813_00917_132_20251225151556_91.13.BIN,16.09,25/12/2025 23:38
TG132_300299_66813_00918_132_20251225233718_91.13.BIN,27.84,25/12/2025 23:38
TG132_612191_67010_01183_132_20251225055503_91.13.BIN,4.64,25/12/2025 05:58
TG132_612191_67010_01184_132_20251225153001_91.13.BIN,17.54,25/12/2025 15:30
